elo_h,elo_a,elo_diff,laplace_proba_h,laplace_proba_a,laplace_proba_diff,sum_previous_pm_h,sum_previous_pm_a,sum_previous_pm_diff,streak_h,streak_a,streak_diff,lsr_h,lsr_a,lsr_diff
1512.449890538056,1392.8695503680735,119.58034016998249,0.5,0.16666666666666666,0.33333333333333337,-6.0,-57.0,51.0,0.0,-7.0,7.0,20.0,14.0,6.0
1536.7080190358058,1567.953686958985,-31.2456679231791,0.5833333333333334,0.75,-0.16666666666666663,10.0,13.0,-3.0,0.0,1.0,-1.0,26.0,24.0,2.0
1506.4520585102534,1459.763060722697,46.688997787556445,0.5454545454545454,0.3076923076923077,0.2377622377622377,13.0,-21.0,34.0,1.0,-1.0,2.0,15.0,9.0,6.0
1495.8965402096815,1516.077878312685,-20.181338103003554,0.5,0.5454545454545454,-0.045454545454545414,31.0,2.0,29.0,2.0,2.0,0.0,27.0,3.0,24.0
1502.5922805247415,1533.126772468627,-30.53449194388554,0.5,0.6666666666666666,-0.16666666666666663,-1.0,17.0,-18.0,2.0,0.0,2.0,23.0,19.0,4.0
1457.6964816083853,1449.4256798088925,8.270801799492801,0.36363636363636365,0.38461538461538464,-0.02097902097902099,-8.0,-9.0,1.0,-2.0,-2.0,0.0,18.0,8.0,10.0
1508.7018707021355,1456.4965768642437,52.20529383789176,0.5384615384615384,0.45454545454545453,0.0839160839160839,40.0,-3.0,43.0,2.0,-3.0,5.0,29.0,12.0,17.0
1515.9463352282546,1522.0571962590534,-6.110861030798787,0.5384615384615384,0.5833333333333334,-0.044871794871794934,-11.0,27.0,-38.0,0.0,1.0,-1.0,20.0,28.0,-8.0
1489.6740055820726,1468.9882931525829,20.68571242948974,0.5,0.3076923076923077,0.1923076923076923,-17.0,-26.0,9.0,1.0,2.0,-1.0,25.0,5.0,20.0
1455.4231501036875,1561.2445428653382,-105.82139276165071,0.3333333333333333,0.6923076923076923,-0.358974358974359,-20.0,22.0,-42.0,-4.0,1.0,-5.0,10.0,24.0,-14.0
1509.6496640916125,1484.9103709130131,24.739293178599382,0.5,0.5,0.0,-15.0,-11.0,-4.0,-1.0,-3.0,2.0,3.0,15.0,-12.0
1519.868698295703,1543.4171631294525,-23.54846483374945,0.5454545454545454,0.6153846153846154,-0.06993006993007,12.0,6.0,6.0,2.0,0.0,2.0,7.0,26.0,-19.0
1497.3166111929459,1552.0821517835393,-54.765540590593446,0.5,0.6923076923076923,-0.1923076923076923,10.0,1.0,9.0,1.0,1.0,0.0,17.0,19.0,-2.0
1541.022216449612,1513.4607414676943,27.561474981917627,0.6153846153846154,0.5714285714285714,0.04395604395604402,42.0,56.0,-14.0,4.0,5.0,-1.0,30.0,29.0,1.0
1541.8824730519411,1385.055328427169,156.82714462477225,0.6153846153846154,0.14285714285714285,0.47252747252747257,44.0,-27.0,71.0,4.0,-6.0,10.0,28.0,14.0,14.0
1495.121743686066,1549.1116867799255,-53.98994309385944,0.5384615384615384,0.6923076923076923,-0.15384615384615385,-23.0,0.0,-23.0,1.0,2.0,-1.0,25.0,16.0,9.0
1496.1210584353669,1479.5546335099857,16.56642492538117,0.5,0.46153846153846156,0.038461538461538436,-10.0,-13.0,3.0,-1.0,-3.0,2.0,20.0,15.0,5.0
1536.3596092840478,1500.6600190951744,35.699590188873344,0.6363636363636364,0.5,0.13636363636363635,-15.0,13.0,-28.0,3.0,1.0,2.0,13.0,7.0,6.0
1513.779556848302,1479.2651634681622,34.514393380139836,0.5,0.46153846153846156,0.038461538461538436,6.0,-7.0,13.0,2.0,-2.0,4.0,21.0,17.0,4.0
1570.133599508323,1572.151565318391,-2.0179658100680626,0.7142857142857143,0.7692307692307693,-0.05494505494505497,12.0,46.0,-34.0,5.0,4.0,1.0,19.0,22.0,-3.0
1515.00540149464,1479.5547418882807,35.450659606359295,0.5384615384615384,0.46153846153846156,0.07692307692307687,-5.0,-15.0,10.0,2.0,-2.0,4.0,3.0,11.0,-8.0
1468.9900048303177,1502.324754430754,-33.334749600436226,0.35714285714285715,0.5384615384615384,-0.18131868131868129,-14.0,15.0,-29.0,-1.0,1.0,-2.0,2.0,27.0,-25.0
1577.2882825404768,1443.6901019613356,133.59818057914117,0.7142857142857143,0.35714285714285715,0.35714285714285715,53.0,-25.0,78.0,4.0,-5.0,9.0,24.0,8.0,16.0
1562.6258423299812,1439.379410428549,123.24643190143229,0.6428571428571429,0.3076923076923077,0.3351648351648352,19.0,-38.0,57.0,3.0,-5.0,8.0,26.0,10.0,16.0
1475.9968318461777,1450.137117847351,25.85971399882669,0.3333333333333333,0.3333333333333333,0.0,-50.0,-23.0,-27.0,-1.0,-2.0,1.0,9.0,2.0,7.0
1546.31448616588,1520.1228260068988,26.19166015898122,0.6428571428571429,0.5714285714285714,0.07142857142857151,42.0,29.0,13.0,3.0,4.0,-1.0,30.0,3.0,27.0
1483.6369012098291,1481.2601982576334,2.3767029521957284,0.46153846153846156,0.46153846153846156,0.0,-11.0,-50.0,39.0,-2.0,-4.0,2.0,23.0,4.0,19.0
1435.9434367240126,1518.9175320002867,-82.97409527627406,0.2857142857142857,0.5333333333333333,-0.24761904761904763,-33.0,1.0,-34.0,-5.0,1.0,-6.0,10.0,21.0,-11.0
1467.7498367066482,1457.2229730440727,10.526863662575579,0.46153846153846156,0.26666666666666666,0.1948717948717949,1.0,-22.0,23.0,-3.0,0.0,-3.0,18.0,5.0,13.0
1515.1554448867398,1474.4373173760218,40.71812751071798,0.5833333333333334,0.42857142857142855,0.15476190476190482,-18.0,-29.0,11.0,-1.0,-1.0,0.0,13.0,11.0,2.0
1501.377094151121,1474.0123970120005,27.36469713912038,0.5,0.42857142857142855,0.07142857142857145,-46.0,-25.0,-21.0,-1.0,-5.0,4.0,4.0,15.0,-11.0
1566.0618160345175,1550.1669820126492,15.894834021868292,0.6666666666666666,0.6666666666666666,0.0,30.0,39.0,-9.0,5.0,4.0,1.0,26.0,19.0,7.0
1580.5579848697646,1521.8641834924824,58.69380137728217,0.7333333333333333,0.5384615384615384,0.19487179487179485,45.0,21.0,24.0,4.0,4.0,0.0,24.0,7.0,17.0
1481.3273145501632,1545.492534643121,-64.16522009295772,0.375,0.625,-0.25,-46.0,34.0,-80.0,-2.0,4.0,-6.0,9.0,26.0,-17.0
1474.1271883161776,1444.0378573972832,30.089330918894348,0.42857142857142855,0.3333333333333333,0.09523809523809523,-11.0,-17.0,6.0,-5.0,-3.0,-2.0,17.0,10.0,7.0
1506.4659009950965,1541.8068219183579,-35.340920923261365,0.45454545454545453,0.6428571428571429,-0.18831168831168837,-24.0,4.0,-28.0,0.0,2.0,-2.0,6.0,16.0,-10.0
1382.135115089544,1592.1181828140648,-209.98306772452088,0.13333333333333333,0.7857142857142857,-0.6523809523809524,-47.0,36.0,-83.0,-5.0,4.0,-9.0,14.0,22.0,-8.0
1548.5587684366258,1517.2394382276718,31.319330208953943,0.6666666666666666,0.5,0.16666666666666663,81.0,-21.0,102.0,6.0,2.0,4.0,28.0,7.0,21.0
1495.272310234218,1469.434502490852,25.83780774336583,0.5333333333333333,0.4,0.1333333333333333,-27.0,-28.0,1.0,-1.0,-1.0,0.0,25.0,11.0,14.0
1494.9534900188905,1510.823111327016,-15.869621308125488,0.4666666666666667,0.5,-0.033333333333333326,0.0,-14.0,14.0,-1.0,-1.0,0.0,15.0,21.0,-6.0
1451.540373865453,1570.7362634040458,-119.19588953859284,0.25,0.6875,-0.4375,-28.0,33.0,-61.0,-2.0,5.0,-7.0,5.0,19.0,-14.0
1514.7998109170735,1473.432435885268,41.36737503180552,0.5333333333333333,0.5,0.033333333333333326,7.0,8.0,-1.0,1.0,0.0,1.0,3.0,18.0,-15.0
1370.3274339401762,1453.0994332324983,-82.7719992923221,0.125,0.4,-0.275,-53.0,-10.0,-43.0,-6.0,-5.0,-1.0,14.0,17.0,-3.0
1468.4436282965517,1555.2111248792426,-86.76749658269091,0.4666666666666667,0.6875,-0.22083333333333333,-17.0,43.0,-60.0,0.0,3.0,-3.0,18.0,30.0,-12.0
1487.6867721779504,1485.3579883450318,2.328783832918589,0.4166666666666667,0.4666666666666667,-0.04999999999999999,-45.0,39.0,-84.0,-4.0,1.0,-5.0,6.0,23.0,-17.0
1608.1860263070562,1486.930901372254,121.2551249348021,0.8125,0.4117647058823529,0.4007352941176471,49.0,-8.0,57.0,8.0,2.0,6.0,22.0,10.0,12.0
1444.1861233577772,1460.6560761890757,-16.469952831298542,0.3333333333333333,0.29411764705882354,0.039215686274509776,-29.0,-2.0,-27.0,-2.0,0.0,-2.0,9.0,5.0,4.0
1553.767279291742,1553.148926879498,0.6183524122438939,0.6875,0.625,0.0625,71.0,11.0,60.0,6.0,3.0,3.0,28.0,16.0,12.0
1474.3800635776254,1505.4732539836932,-31.093190406067833,0.5,0.5,0.0,-6.0,40.0,-46.0,-2.0,2.0,-4.0,25.0,23.0,2.0
1353.3630199746717,1499.8860243214167,-146.52300434674498,0.11764705882352941,0.5,-0.38235294117647056,-52.0,-19.0,-33.0,-7.0,1.0,-8.0,14.0,4.0,10.0
1509.100318789358,1498.3202767432194,10.780042046138533,0.5625,0.5714285714285714,-0.008928571428571397,5.0,-20.0,25.0,0.0,-3.0,3.0,20.0,13.0,7.0
1611.6547425118304,1511.9332096176952,99.72153289413518,0.8235294117647058,0.5,0.32352941176470584,71.0,-3.0,74.0,7.0,2.0,5.0,22.0,21.0,1.0
1555.7531756260828,1441.2640063360197,114.48916929006305,0.6111111111111112,0.29411764705882354,0.3169934640522876,16.0,-36.0,52.0,2.0,-4.0,6.0,26.0,2.0,24.0
1470.0638471980028,1501.2739187604498,-31.210071562446956,0.4375,0.5,-0.0625,-17.0,-1.0,-16.0,-4.0,-1.0,-3.0,17.0,15.0,2.0
1512.0309273725557,1500.7707729649096,11.260154407646041,0.4666666666666667,0.5294117647058824,-0.06274509803921569,-51.0,11.0,-62.0,-1.0,1.0,-2.0,7.0,27.0,-20.0
1494.5656882260669,1476.7720777323857,17.79361049368117,0.47058823529411764,0.47058823529411764,0.0,-3.0,-4.0,1.0,0.0,-2.0,2.0,15.0,17.0,-2.0
1483.46218516748,1565.1631898877686,-81.70100472028867,0.3888888888888889,0.6666666666666666,-0.27777777777777773,-10.0,14.0,-24.0,3.0,2.0,1.0,10.0,19.0,-9.0
1508.094593275191,1450.5215010824506,57.57309219274043,0.47368421052631576,0.3684210526315789,0.10526315789473684,-22.0,-25.0,3.0,-1.0,-3.0,2.0,21.0,9.0,12.0
1492.6436044542666,1547.2314689756267,-54.58786452136019,0.5333333333333333,0.5882352941176471,-0.05490196078431375,-45.0,-26.0,-19.0,-6.0,0.0,-6.0,13.0,16.0,-3.0
1486.4005041793148,1559.3349843356261,-72.93448015631134,0.4117647058823529,0.631578947368421,-0.2198142414860681,-33.0,13.0,-46.0,0.0,1.0,-1.0,11.0,26.0,-15.0
1437.6821976264764,1491.6150433657347,-53.932845739258255,0.2777777777777778,0.4375,-0.1597222222222222,-48.0,-62.0,14.0,-6.0,-4.0,-2.0,2.0,7.0,-5.0
1540.4049819928794,1521.1866569717306,19.218325021148758,0.6111111111111112,0.5555555555555556,0.05555555555555558,2.0,2.0,0.0,1.0,2.0,-1.0,30.0,27.0,3.0
